code,value
GCROWNP70715406,99
GCROWNP89890839,99
GCROWNP78380685,99
GCROWNP11261428,99
GCROWNP7762410,99
GCROWNP66052792,99
GCROWNP960206,99
GCROWNP54759836,99
GCROWNP52234338,99
GCROWNP89256631,99
GCROWNP17863642,99
GCROWNP83598088,99
GCROWNP90453689,99
GCROWNP10934697,99
GCROWNP21827173,99
GCROWNP65425495,99
GCROWNP46079639,99
GCROWNP85181394,99
GCROWNP80310397,99
GCROWNP4253101,99
GCROWNP90366380,99
GCROWNP55459888,99
GCROWNP13905564,99
GCROWNP33599704,99
GCROWNP96179370,99
GCROWNP53790725,99
GCROWNP83738471,99
GCROWNP13820927,99
GCROWNP3027661,99
GCROWNP26125072,99
GCROWNP85127744,99
GCROWNP17216193,99
GCROWNP98603167,99
GCROWNP71142965,99
GCROWNP76057262,99
GCROWNP81103136,99
GCROWNP89926516,99
GCROWNP11431236,99
GCROWNP52542855,99
GCROWNP70100721,99
GCROWNP79925992,99
GCROWNP61427244,99
GCROWNP39929927,99
GCROWNP62485926,99
GCROWNP19832354,99
GCROWNP85706123,99
GCROWNP28035819,99
GCROWNP43436677,99
GCROWNP20673718,99
GCROWNP95219969,99
GCROWNP47054054,99
GCROWNP55081843,99
GCROWNP40526182,99
GCROWNP63273233,99
GCROWNP35253876,99
GCROWNP5714183,99
GCROWNP4791837,99
GCROWNP76005702,99
GCROWNP35751959,99
GCROWNP2188388,99
GCROWNP79894686,99
GCROWNP19123076,99
GCROWNP55437040,99
GCROWNP56817089,99
GCROWNP22640172,99
GCROWNP75010323,99
GCROWNP98324429,99
GCROWNP65693870,99
GCROWNP62076,99
GCROWNP71233669,99
GCROWNP93695952,99
GCROWNP75117791,99
GCROWNP33478104,99
GCROWNP93193007,99
GCROWNP62099069,99
GCROWNP23136052,99
GCROWNP61676027,99
GCROWNP71868631,99
GCROWNP57236076,99
GCROWNP46647291,99
GCROWNP87470808,99
GCROWNP54603237,99
GCROWNP41372776,99
GCROWNP98459586,99
GCROWNP62207955,99
GCROWNP48605954,99
GCROWNP59614843,99
GCROWNP17027025,99
GCROWNP20925099,99
GCROWNP77944283,99
GCROWNP91334036,99
GCROWNP80768411,99
GCROWNP22203060,99
GCROWNP85883455,99
GCROWNP72687316,99
GCROWNP52083812,99
GCROWNP31709951,99
GCROWNP36531089,99
GCROWNP90856866,99
GCROWNP53902337,99
GCROWNP59298763,99
GCROWNP18884844,99
GCROWNP65606667,99
GCROWNP41776769,99
GCROWNP8648902,99
GCROWNP95234095,99
GCROWNP96172746,99
GCROWNP33974614,99
GCROWNP19133619,99
GCROWNP75871703,99
GCROWNP75781489,99
GCROWNP42359838,99
GCROWNP74373035,99
GCROWNP17459927,99
GCROWNP72762283,99
GCROWNP82258077,99
GCROWNP21232561,99
GCROWNP4905911,99
GCROWNP53800169,99
GCROWNP68964444,99
