name,display_name,color,price,w,h,d,B,ED,UPC,lab_material,material,Product head-on view pic,Product three quarter view pic,description
CR5000,50,Black Texture,129,53,17,140,39.2,58.4,796764584657,Plastic,Acetate,CR5000_01_product_0,CR5000_01_product_three_quarter_view,A rendition of the classic cat-eye in a dreamy acetate color palette.
CR5000,50,Milky White,129,53,17,140,39.2,58.4,796764584664,Plastic,Acetate,CR5000_09_product_0,CR5000_09_product_three_quarter_view,A rendition of the classic cat-eye in a dreamy acetate color palette.
CR5000,50,Honey Tortoise ,129,53,17,140,39.2,58.4,796764584671,Plastic,Acetate,CR5000_22_product_0,CR5000_22_product_three_quarter_view,A rendition of the classic cat-eye in a dreamy acetate color palette.
CR5001,88,Black Texture,129,53,15,140,38.7,58,796764584688,Plastic,Acetate,CR5001_01_product_0,CR5001_01_product_three_quarter_view,A classic wayfarer suited for everything from book clubs to Sunday brunches.
CR5001,88,Purple Tortoise,129,53,15,140,38.7,58,796764584695,Plastic,Acetate,CR5001_07_product_0,CR5001_07_product_three_quarter_view,A classic wayfarer suited for everything from book clubs to Sunday brunches.
CR5001,88,Blush,129,53,15,140,38.7,58,796764584701,Plastic,Acetate,CR5001_10_product_0,CR5001_10_product_three_quarter_view,A classic wayfarer suited for everything from book clubs to Sunday brunches.
CR5002,51,Black/Bone,129,53,15,135,41.4,57.9,796764584718,Plastic,Acetate,CR5002_01_product_0,CR5002_01_product_three_quarter_view,A throwback to the retro cat-eye. This feisty number adds instant flair to any look.
CR5002,51,Dark Tortoise,129,53,15,135,41.4,57.9,796764584725,Plastic,Acetate,CR5002_02_product_0,CR5002_02_product_three_quarter_view,A throwback to the retro cat-eye. This feisty number adds instant flair to any look.
CR5002,51,Blue Tortoise Fade,129,53,15,135,41.4,57.9,796764584749,Plastic,Acetate,CR5002_05_product_0,CR5002_05_product_three_quarter_view,A throwback to the retro cat-eye. This feisty number adds instant flair to any look.
CR5003,62,Black,129,48,20,145,39.3,51.9,796764584756,Plastic,Acetate,CR5003_01_product_0,CR5003_01_product_three_quarter_view,Oversized square frame with a bold color fade option for good measure.
CR5003,62,Blush,129,48,20,145,39.3,51.9,796764584763,Plastic,Acetate,CR5003_10_product_0,CR5003_10_product_three_quarter_view,Oversized square frame with a bold color fade option for good measure.
CR5003,62,Brown Fade,129,48,20,145,39.3,51.9,796764584770,Plastic,Acetate,CR5003_22_product_0,CR5003_22_product_three_quarter_view,Oversized square frame with a bold color fade option for good measure.
CR5004,12,Black,129,51,15,138,37.6,52.8,796764584916,Metal,Metal,CR5004_01_product_0,CR5004_01_product_three_quarter_view,"Retro style in a modern, lightweight metal. "
CR5004,12,Bronze,129,51,15,138,37.6,52.8,796764584909,Metal,Metal,CR5004_02_product_0,CR5004_02_product_three_quarter_view,"Retro style in a modern, lightweight metal. "
CR5004,12,Japanese Gold,129,51,15,138,37.6,52.8,796764584923,Metal,Metal,CR5004_04_product_0,CR5004_04_product_three_quarter_view,"Retro style in a modern, lightweight metal. "
CR5005,86,Gunmetal,129,56,15,145,43.7,59.1,796764585302,Metal,Metal,CR5005_00_product_0,CR5005_00_product_three_quarter_view,A wardrobe staple; flatters every face and look.
CR5005,86,Gold,129,56,15,145,43.7,59.1,796764585296,Metal,Metal,CR5005_04_product_0,CR5005_04_product_three_quarter_view,A wardrobe staple; flatters every face and look.
CR5005,86,Black/Navy,129,56,15,145,43.7,59.1,796764585319,Metal,Metal,CR5005_11_product_0,CR5005_11_product_three_quarter_view,A wardrobe staple; flatters every face and look.
CR5006,87,Black,129,52,17,138,42.3,55.1,796764584947,Metal,Metal,CR5006_01_product_0,CR5006_01_product_three_quarter_view,A standout oversized metal frame in an understated color palette.
CR5006,87,Bronze Fade,129,52,17,138,42.3,55.1,796764584954,Metal,Metal,CR5006_02_product_0,CR5006_02_product_three_quarter_view,A standout oversized metal frame in an understated color palette.
CR5006,87,Navy,129,52,17,138,42.3,55.1,796764584930,Metal,Metal,CR5006_05_product_0,CR5006_05_product_three_quarter_view,A standout oversized metal frame in an understated color palette.
CR5007,55,Purple Tortoise,129,54,16,140,41.6,50.6,796764584978,Metal,Combination,CR5007_02_product_0,CR5007_02_product_three_quarter_view,"50% metal, 50% acetate, 100% stylish."
CR5007,55,Green Tortoise,129,54,16,140,41.6,50.6,796764584985,Metal,Combination,CR5007_08_product_0,CR5007_08_product_three_quarter_view,"50% metal, 50% acetate, 100% stylish."
CR5007,55,Black Texture,129,54,16,140,41.6,50.6,796764584961,Metal,Combination,CR5007_11_product_0,CR5007_11_product_three_quarter_view,"50% metal, 50% acetate, 100% stylish."
CR5008,24,Gold,129,51,20,145,44.7,53.7,796764585371,Metal,Metal,CR5008_04_product_0,CR5008_04_product_three_quarter_view,"Direct from Cynthia's runway, check out the trippy color combos on these mirrored lens frames."
CR5008,24,Burgundy,129,51,20,145,44.7,53.7,796764585395,Metal,Metal,CR5008_06_product_0,CR5008_06_product_three_quarter_view,"Direct from Cynthia's runway, check out the trippy color combos on these mirrored lens frames."
CR5008,24,Gunmetal,129,51,20,145,44.7,53.7,796764585388,Metal,Metal,CR5008_10_product_0,CR5008_10_product_three_quarter_view,"Direct from Cynthia's runway, check out the trippy color combos on these mirrored lens frames."
CR5008_sun,24,Gold,99,51,20,145,44.7,53.7,796764586019,Metal,Metal,CR5008_sun_04_product_0,CR5008_sun_04_product_three_quarter_view,"Direct from Cynthia's runway, check out the trippy color combos on these mirrored lens frames."
CR5008_sun,24,Burgundy,99,51,20,145,44.7,53.7,796764585418,Metal,Metal,CR5008_sun_06_product_0,CR5008_sun_06_product_three_quarter_view,"Direct from Cynthia's runway, check out the trippy color combos on these mirrored lens frames."
CR5008_sun,24,Gunmetal,99,51,20,145,44.7,53.7,796764585401,Metal,Metal,CR5008_sun_10_product_0,CR5008_sun_10_product_three_quarter_view,"Direct from Cynthia's runway, check out the trippy color combos on these mirrored lens frames."
CR5009,39,Black,129,50,21,140,42.4,53.3,796764585425,Plastic,Acetate,CR5009_01_product_0,CR5009_01_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR5009,39,Tortoise,129,50,21,140,42.4,53.3,796764587764,Plastic,Acetate,CR5009_02_product_0,CR5009_02_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR5009,39,Indigo,129,50,21,140,42.4,53.3,796764585432,Plastic,Acetate,CR5009_05_product_0,CR5009_05_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR5009,39,Honey Tortoise ,129,50,21,140,42.4,53.3,796764585449,Plastic,Acetate,CR5009_22_product_0,CR5009_22_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR5010,10,Gunmetal,99,62,13,140,49.1,66.9,796764585517,Metal,Metal,CR5010_00_product_0,CR5010_00_product_three_quarter_view,No eyewear collection is complete without that perfect aviator.
CR5010,10,Gold,99,62,13,140,49.1,66.9,796764585524,Metal,Metal,CR5010_04_product_0,CR5010_04_product_three_quarter_view,No eyewear collection is complete without that perfect aviator.
CR5010,10,Silver,99,62,13,140,49.1,66.9,796764585531,Metal,Metal,CR5010_10_product_0,CR5010_10_product_three_quarter_view,No eyewear collection is complete without that perfect aviator.
CR5011,03,Crystal,99,51,21,135,45.9,55.8,796764585630,Plastic,Acetate,CR5011_00_product_0,CR5011_00_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5011,03,Black,99,51,21,135,45.9,55.8,796764585609,Plastic,Acetate,CR5011_01_product_0,CR5011_01_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5011,03,Indigo,99,51,21,135,45.9,55.8,796764585623,Plastic,Acetate,CR5011_05_product_0,CR5011_05_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5011,03,Honey Tortoise ,99,51,21,135,45.9,55.8,796764585616,Plastic,Acetate,CR5011_22_product_0,CR5011_22_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR5012,29,Black,129,50,19,140,42.7,55.1,796764584787,Plastic,Acetate,CR5012_01_product_0,CR5012_01_product_three_quarter_view,Geometric and daringly abstract. This is Cynthia's pick of the bunch.
CR5012,29,Dark Tortoise,129,50,19,140,42.7,55.1,796764584800,Plastic,Acetate,CR5012_02_product_0,CR5012_02_product_three_quarter_view,Geometric and daringly abstract. This is Cynthia's pick of the bunch.
CR5012,29,Indigo,129,50,19,140,42.7,55.1,796764584794,Plastic,Acetate,CR5012_05_product_0,CR5012_05_product_three_quarter_view,Geometric and daringly abstract. This is Cynthia's pick of the bunch.
